2,1
BuyHighSellLow
AAPL,6
2019-05-17 00:00:00,189.0,long
2019-06-12 00:00:00,194.19000244140625,short
2019-08-07 00:00:00,199.0399932861328,long
2019-08-21 00:00:00,212.63999938964844,short
2020-02-25 00:00:00,288.0799865722656,long
2020-04-07 00:00:00,259.42999267578125,short
boiiii
AAPL,6
2019-05-17 00:00:00,189.0,short
2019-06-12 00:00:00,194.19000244140625,long
2019-08-07 00:00:00,199.0399932861328,short
2019-08-21 00:00:00,212.63999938964844,long
2020-02-25 00:00:00,288.0799865722656,short
2020-04-07 00:00:00,259.42999267578125,long
